epoch,acc,loss,val_acc,val_loss
0,0.364678903457,1.31325328022,0.333333333333,1.09843703111
1,0.520642201015,0.951063852791,0.97499999404,0.307274639606
2,0.868181816556,0.345270818946,1.0,0.0986237938826
3,0.907407401888,0.268674959394,0.99166666468,0.0522910949464
4,0.942660547725,0.195259960078,0.99166666468,0.0345653276891
5,0.942660547725,0.2132872354,1.0,0.0524191511795
6,0.933486233611,0.213022801923,0.99166666468,0.0353019981024
7,0.954128437633,0.157005690414,0.99166666468,0.0245791998071
8,0.958715587034,0.131914077873,1.0,0.0267068534158
9,0.954128429977,0.149226387125,0.98333332936,0.0671746009029
10,0.956422014521,0.0908534966854,1.0,0.00364523814642
11,0.974999996749,0.0812505947066,1.0,0.0191383401252
12,0.965277770051,0.0698351247184,0.97499999404,0.0202288964629
13,0.972477057658,0.121311908255,1.0,0.0289850538441
14,0.956818176941,0.0963501539134,0.99166666468,0.020088174361
15,0.967889900601,0.0780529818493,0.99166666468,0.0183521700431
16,0.958715589221,0.0930488745793,1.0,0.0180711987584
17,0.95642201124,0.126545139973,1.0,0.0237615865966
18,0.981651372866,0.0675194642566,1.0,0.00485270989157
19,0.981651372319,0.0761850645804,1.0,0.00558013655245
